entity,logs_listed,string_matches,logs_w_author,top_author,top_author_share,n_distinct_authors,proposed_player_dbref,confidence,relationship
Mara Shinomiya,2,6,2,Geophreigh Smitherbodkins IV,0.5,2,,med,ext_uploader:Geophreigh Smitherbodkins IV
Kitterick Brandis Finian,2,6,2,Danik Kreldin,0.5,2,8061,med,ext_uploader:Danik Kreldin
Aleister Vadim,2,6,2,Luke Skywalker,1.0,1,2043,high,ext_uploader:Luke Skywalker
Seth Senesca,2,6,2,Luke Skywalker,0.5,2,2043,med,ext_uploader:Luke Skywalker
Cernious Vry'lya,2,6,2,Athena,0.5,2,7787,med,ext_uploader:Athena
Simetha,2,6,2,Danik Kreldin,0.5,2,8061,med,ext_uploader:Danik Kreldin
Devyn,2,5,2,Shenneret Veery,1.0,1,,high,ext_uploader:Shenneret Veery
Nelle,2,5,2,Crestian Tarasar,1.0,1,5921,high,ext_uploader:Crestian Tarasar
Anatoli Black,2,5,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
TC-81,2,5,2,Ambrosia Delgard,1.0,1,4866,high,ext_uploader:Ambrosia Delgard
Ven Secura,2,5,2,Lynae Cassius,0.5,2,9311,med,ext_uploader:Lynae Cassius
Agent McKenna,2,4,2,Korynn Fleming,1.0,1,11044,high,ext_uploader:Korynn Fleming
Jalek Helion,2,4,2,Twila Virda,0.5,2,9990,med,ext_uploader:Twila Virda
Doril Farnsworth,2,4,2,Valerius,0.5,2,418,med,ext_uploader:Valerius
Jalek Wessiri,2,4,2,Axel Vichten,0.5,2,9768,med,ext_uploader:Axel Vichten
Dises Diaglo,2,4,2,Lynae Cassius-Caiton,0.5,2,9311,med,ext_uploader:Lynae Cassius-Caiton
Jordaan Mag,2,4,2,Johanna Siri te Danaan,0.5,2,9407,med,ext_uploader:Johanna Siri te Danaan
Lara Grayson,2,3,2,Jessalyn Valios,0.5,2,3146,med,ext_uploader:Jessalyn Valios
Jakys Vry'lya,2,3,2,Ewan Dain,1.0,1,,high,ext_uploader:Ewan Dain
Aned Kirkland,2,3,2,Lynae,0.5,2,9311,med,ext_uploader:Lynae
Latar Zaff,2,3,2,Danik Kreldin,1.0,1,8061,high,ext_uploader:Danik Kreldin
Luther Syss,2,3,2,Bazil McKenzie,1.0,1,9199,high,ext_uploader:Bazil McKenzie
Brackett Benduday,2,3,2,Crestian Tarasar,1.0,1,5921,high,ext_uploader:Crestian Tarasar
Nachkt'lyysk,2,3,2,Ambrosia Delgard,1.0,1,4866,high,ext_uploader:Ambrosia Delgard
Wilhelm Krieger,2,3,2,Danik Kreldin,0.5,2,8061,med,ext_uploader:Danik Kreldin
Vorn Paro,2,2,2,Simon Sezirok,0.5,2,7077,med,ext_uploader:Simon Sezirok
Sharidan Hrackniss,2,2,1,Krieg Inrokana,1.0,1,3692,med,ext_uploader:Krieg Inrokana
Ullo the Hutt,2,2,2,Paul Nighman,1.0,1,,high,ext_uploader:Paul Nighman
Kelvis Aquatica,2,2,2,Bazil McKenzie,0.5,2,9199,med,ext_uploader:Bazil McKenzie
Blake Hishinko,2,2,2,Kyrin Sh'vani,0.5,2,9395,med,ext_uploader:Kyrin Sh'vani
Varin Rall,2,2,2,Rasi Praddhan Cen,1.0,1,1050,high,ext_uploader:Rasi Praddhan Cen
Lahn,2,2,2,Bazil McKenzie,1.0,1,9199,high,ext_uploader:Bazil McKenzie
Quaye Oswent,2,2,2,Zubindi Hakoon,0.5,2,4715,med,ext_uploader:Zubindi Hakoon
Billious Qarrack,2,2,2,Billious Qarrack,1.0,1,,high,self(player)
Irascius Quirn,2,2,2,Bazil McKenzie,1.0,1,9199,high,ext_uploader:Bazil McKenzie
A. Peltoo Appel,2,2,2,Lolkje,1.0,1,,high,ext_uploader:Lolkje
Benjamin Jawatha,2,2,2,Tsaran Joir,0.5,2,,med,ext_uploader:Tsaran Joir
Valkyr Tenebre,2,2,2,Arise Omondra,1.0,1,7341,high,ext_uploader:Arise Omondra
Holden Deckherd,2,2,2,Billious Qarrack,0.5,2,,med,ext_uploader:Billious Qarrack
Askra Sho'bre,2,1,2,Raxis L'ygr,1.0,1,,high,ext_uploader:Raxis L'ygr
Solomon Fields,2,1,2,Aldus Thel,1.0,1,,high,ext_uploader:Aldus Thel
Ivanil Sandomere,2,1,2,Tokoga,1.0,1,8189,high,ext_uploader:Tokoga
Laivin Quix,2,1,2,Ambrosia Delgard,0.5,2,4866,med,ext_uploader:Ambrosia Delgard
Raika Navar,2,1,2,Zrak'Hroun,1.0,1,,high,ext_uploader:Zrak'Hroun
Eryk Zephron,2,1,2,Morganna Tazecks,0.5,2,,med,ext_uploader:Morganna Tazecks
Airion Cimber,2,1,2,Doron Rtufo,0.5,2,,med,ext_uploader:Doron Rtufo
Grymm Selcan,2,1,2,Danik Kreldin,0.5,2,8061,med,ext_uploader:Danik Kreldin
Ashby Williams,2,1,2,Sabrina Rheatis,0.5,2,8223,med,ext_uploader:Sabrina Rheatis
Baedan Mirhoz,2,1,2,Danik Kreldin,1.0,1,8061,high,ext_uploader:Danik Kreldin
Lyrik Welkar,2,1,2,Raxis L'ygr,1.0,1,,high,ext_uploader:Raxis L'ygr
Jorj Brinaj,2,1,2,Antoine Dareus,1.0,1,,high,ext_uploader:Antoine Dareus
Dalek Rolynd,2,1,2,Leia Organa Solo,0.5,2,3147,med,ext_uploader:Leia Organa Solo
Seamus Doherty,2,1,2,Luke Skywalker,1.0,1,2043,high,ext_uploader:Luke Skywalker
Sonny Wuv Traa,2,0,2,Gren Delede,1.0,1,,high,ext_uploader:Gren Delede
Graden Transal,2,0,2,Gren Delede,1.0,1,,high,ext_uploader:Gren Delede
Eithne Damia Tamesis,2,0,2,Antoine Dareus,1.0,1,,high,ext_uploader:Antoine Dareus
Kitty (Kit),2,0,2,Billious Qarrack,1.0,1,,high,ext_uploader:Billious Qarrack
Hawke Taren,2,0,2,Morganna Tazecks,0.5,2,,med,ext_uploader:Morganna Tazecks
Rei'yak Caridla,2,0,2,Krieg Inrokana,1.0,1,3692,high,ext_uploader:Krieg Inrokana
Aaden'maal Baeyal,2,0,2,Ambrosia Delgard,0.5,2,4866,med,ext_uploader:Ambrosia Delgard
Leebo Krupt,2,0,2,Paul Nighman,0.5,2,,med,ext_uploader:Paul Nighman
Caliph Ashirael Rhannak,2,0,2,Ambrosia Delgard,1.0,1,4866,high,ext_uploader:Ambrosia Delgard
Vyal Ruathen,2,0,2,Geophreigh Smitherbodkins IV,1.0,1,,high,ext_uploader:Geophreigh Smitherbodkins IV
Jindra Langri,2,0,2,Morganna Tazecks,1.0,1,,high,ext_uploader:Morganna Tazecks
Khanar Stryker,2,0,2,Axel Vichten,1.0,1,9768,high,ext_uploader:Axel Vichten
