entity,logs_listed,string_matches,logs_w_author,top_author,top_author_share,n_distinct_authors,proposed_player_dbref,confidence,relationship
Raina Aderanne,1,1,1,Ambrosia Delgard,1.0,1,4866,med,ext_uploader:Ambrosia Delgard
Nerik Dreshkar,1,1,1,Paul Nighman,1.0,1,,med,ext_uploader:Paul Nighman
Feylin Calenik,1,1,1,Simon Sezirok,1.0,1,7077,med,ext_uploader:Simon Sezirok
Hellion Kracken,1,1,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Harval Shaw,1,1,1,Aldus Thel,1.0,1,,med,ext_uploader:Aldus Thel
J. Hook,1,1,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Commodore Snunb,1,1,1,Bazil McKenzie,1.0,1,9199,med,ext_uploader:Bazil McKenzie
Lathan Vel,1,1,1,Tokoga,1.0,1,8189,med,ext_uploader:Tokoga
Wallas Thurl,1,1,0,,0,0,,none,no_author_signal
Jak M'koy,1,1,1,Lolkje,1.0,1,,med,ext_uploader:Lolkje
Trent Ceska,1,1,1,Jal'Dana Rall,1.0,1,8802,med,ext_uploader:Jal'Dana Rall
Carmella Rise,1,1,1,Crestian Tarasar,1.0,1,5921,med,ext_uploader:Crestian Tarasar
Salann Grayhe,1,1,1,Antoine Dareus,1.0,1,,med,ext_uploader:Antoine Dareus
Devon Striker,1,1,1,Bazil McKenzie,1.0,1,9199,med,ext_uploader:Bazil McKenzie
Kairo,1,1,1,Jonas,1.0,1,11782,med,ext_uploader:Jonas
Krall Dar,1,1,1,Tokoga,1.0,1,8189,med,ext_uploader:Tokoga
Martin Teywer,1,1,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Rharkyrtha,1,1,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Sesbtain Williams,1,1,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Flaron Korr,1,1,0,,0,0,,none,no_author_signal
Benji,1,1,0,,0,0,,none,no_author_signal
Amari Cociena,1,1,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Nicole Brouillard-Batrad,1,1,1,Bazil McKenzie,1.0,1,9199,med,ext_uploader:Bazil McKenzie
Jimmy Pickle,1,1,0,,0,0,,none,no_author_signal
Tiboor Stasio,1,1,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Keely Prior,1,1,1,?,1.0,1,,med,ext_uploader:?
Erin Abrosen,1,1,1,Morganna Tazecks,1.0,1,,med,ext_uploader:Morganna Tazecks
Aideen Shamus,1,1,1,Luke Skywalker,1.0,1,2043,med,ext_uploader:Luke Skywalker
Rinn Vakil,1,1,1,Krysten Carlyle,1.0,1,653,med,ext_uploader:Krysten Carlyle
Lola,1,1,1,Violet Allure,1.0,1,,med,ext_uploader:Violet Allure
Wing Commander Ilan,1,1,1,Jonas,1.0,1,11782,med,ext_uploader:Jonas
Jason Gorrman,1,1,1,Kyrin Sh'vani,1.0,1,9395,med,ext_uploader:Kyrin Sh'vani
Tyr Steiner,1,1,1,Lynae Cassius,1.0,1,9311,med,ext_uploader:Lynae Cassius
Tetsen'sugazi,1,1,1,Sinya'kor,1.0,1,,med,ext_uploader:Sinya'kor
Thayra Delmund,1,1,1,Bazil McKenzie,1.0,1,9199,med,ext_uploader:Bazil McKenzie
Irru Gex,1,1,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Ba'hob,1,1,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Major Peny,1,1,1,Tokoga,1.0,1,8189,med,ext_uploader:Tokoga
Elya'balin,1,1,1,Geophreigh Smitherbodkins IV,1.0,1,,med,ext_uploader:Geophreigh Smitherbodkins IV
Mat Cypher,1,1,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
William Roice,1,1,1,Aldus Thel,1.0,1,,med,ext_uploader:Aldus Thel
Emily Dareus,1,1,1,Lynae Cassius,1.0,1,9311,med,ext_uploader:Lynae Cassius
Garret Fife,1,1,1,Shenneret Veery,1.0,1,,med,ext_uploader:Shenneret Veery
Ailah Vieres,1,1,1,Crestian Tarasar,1.0,1,5921,med,ext_uploader:Crestian Tarasar
Tahk'pa,1,1,1,Elias Corentin,1.0,1,1334,med,ext_uploader:Elias Corentin
Mora Rodriguez,1,1,0,,0,0,,none,no_author_signal
Xanatos Baldur,1,1,1,Bazil McKenzie,1.0,1,9199,med,ext_uploader:Bazil McKenzie
Verst Dejorn,1,1,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Tricia Calder,1,1,1,Shenneret Veery,1.0,1,,med,ext_uploader:Shenneret Veery
Reynar Dax,1,1,1,Jal'Dana Rall,1.0,1,8802,med,ext_uploader:Jal'Dana Rall
Adams Garat,1,1,1,Morganna Tazecks,1.0,1,,med,ext_uploader:Morganna Tazecks
Rena Sarrabi,1,1,0,,0,0,,none,no_author_signal
Pakya Razem,1,1,1,Alex Dante,1.0,1,,med,ext_uploader:Alex Dante
Kintor Roberts,1,1,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Jorgen Essain,1,1,1,Tokoga,1.0,1,8189,med,ext_uploader:Tokoga
Jet Farx,1,1,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Rojones,1,1,0,,0,0,,none,no_author_signal
Renovo Shadowlin,1,1,1,Simon Sezirok,1.0,1,7077,med,ext_uploader:Simon Sezirok
Malouf,1,1,0,,0,0,,none,no_author_signal
Jada Kadoth,1,1,1,Simon Sezirok,1.0,1,7077,med,ext_uploader:Simon Sezirok
Ishtari Tsumeth,1,1,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Cas Mos,1,1,1,Crestian Tarasar,1.0,1,5921,med,ext_uploader:Crestian Tarasar
Tuvare,1,1,1,Crestian Tarasar,1.0,1,5921,med,ext_uploader:Crestian Tarasar
Normack Gastrov,1,1,1,Tsaran Joir,1.0,1,,med,ext_uploader:Tsaran Joir
Savine Wolfray,1,1,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Aldus Syn,1,1,1,Crestian Tarasar,1.0,1,5921,med,ext_uploader:Crestian Tarasar
Tychus Varian,1,1,1,Aldus Thel,1.0,1,,med,ext_uploader:Aldus Thel
K'alyeh U'shh,1,1,1,Morganna Tazecks,1.0,1,,med,ext_uploader:Morganna Tazecks
Kathryn Jrevelian,1,1,1,Bazil McKenzie,1.0,1,9199,med,ext_uploader:Bazil McKenzie
Randal Na'ts,1,1,1,Simone Drake,1.0,1,,med,ext_uploader:Simone Drake
Alana Ten'ou,1,1,1,Axel Vichten,1.0,1,9768,med,ext_uploader:Axel Vichten
Xanatos Xavier,1,1,1,Billious Qarrack,1.0,1,,med,ext_uploader:Billious Qarrack
Strenge Lehmann,1,1,1,Tyy'sun Eson,1.0,1,3655,med,ext_uploader:Tyy'sun Eson
Gregory Garrett,1,1,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Blake Lorent,1,1,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Doctor Alvarez,1,0,1,Jessalyn Valios,1.0,1,3146,med,ext_uploader:Jessalyn Valios
Cerridan Shaerlati,1,0,1,Kyrin Sh'vani,1.0,1,9395,med,ext_uploader:Kyrin Sh'vani
Di'anChecht,1,0,1,Simone Drake,1.0,1,,med,ext_uploader:Simone Drake
Demitri Vry'lya,1,0,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Jonca Cojac,1,0,1,Jared Starwind,1.0,1,9707,med,ext_uploader:Jared Starwind
Arenth Dubois,1,0,1,Luke Skywalker,1.0,1,2043,med,ext_uploader:Luke Skywalker
Fern Powers,1,0,1,Crestian Tarasar,1.0,1,5921,med,ext_uploader:Crestian Tarasar
Preston Mortemilitis,1,0,1,Lynae Cassius,1.0,1,9311,med,ext_uploader:Lynae Cassius
Lierra Carlon,1,0,1,Seifer Wolf,1.0,1,,med,ext_uploader:Seifer Wolf
Angalun Faust,1,0,1,Morganna Tazecks,1.0,1,,med,ext_uploader:Morganna Tazecks
Naota Nandaba,1,0,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Gym Harp'r,1,0,1,Crestian Tarasar,1.0,1,5921,med,ext_uploader:Crestian Tarasar
Besk Fel'ney,1,0,1,Ash,1.0,1,,med,ext_uploader:Ash
Akor Odaliik,1,0,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Senator Bobbec,1,0,0,,0,0,,none,no_author_signal
Di'anCecht Dichet A.C. Rial,1,0,1,Simone Drake,1.0,1,,med,ext_uploader:Simone Drake
Notlim,1,0,1,Lynae,1.0,1,9311,med,ext_uploader:Lynae
Vernista Lan'desdin,1,0,1,Gren Delede,1.0,1,,med,ext_uploader:Gren Delede
Senator Sesqua,1,0,0,,0,0,,none,no_author_signal
Wes Carter,1,0,1,Bazil McKenzie,1.0,1,9199,med,ext_uploader:Bazil McKenzie
Anzon Gr'vish,1,0,1,Rasi Praddhan Cen,1.0,1,1050,med,ext_uploader:Rasi Praddhan Cen
Illyana Crane,1,0,1,Vextin Mandor,1.0,1,,med,ext_uploader:Vextin Mandor
Comdore Kay Serinoth,1,0,1,?,1.0,1,,med,ext_uploader:?
Rafan Janrenk,1,0,1,Johanna Siri te Danaan,1.0,1,9407,med,ext_uploader:Johanna Siri te Danaan
Delila Dmitri,1,0,1,Bazil McKenzie,1.0,1,9199,med,ext_uploader:Bazil McKenzie
Alina Gens,1,0,1,Antoine Dareus,1.0,1,,med,ext_uploader:Antoine Dareus
Snal'fashtalli Teague-Ikihsa,1,0,1,Lynae Cassius,1.0,1,9311,med,ext_uploader:Lynae Cassius
Mon Calamari Ambassador,1,0,1,Korynn Fleming,1.0,1,11044,med,ext_uploader:Korynn Fleming
Amek Drell,1,0,1,Aldus Thel,1.0,1,,med,ext_uploader:Aldus Thel
Athan Cole,1,0,1,Jal'Dana Rall,1.0,1,8802,med,ext_uploader:Jal'Dana Rall
Torg'ahail'naerso,1,0,1,Ambrosia Delgard,1.0,1,4866,med,ext_uploader:Ambrosia Delgard
Mayre O'Hanrahan,1,0,1,Barrien Thrask,1.0,1,,med,ext_uploader:Barrien Thrask
Officer Izec,1,0,0,,0,0,,none,no_author_signal
"Matthew ""Rabid"" Fox",1,0,1,Paul Nighman,1.0,1,,med,ext_uploader:Paul Nighman
Wes Masco,1,0,1,Barrien Thrask,1.0,1,,med,ext_uploader:Barrien Thrask
Nimzar i'Falzin,1,0,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Jim T. Case,1,0,1,Gren Delede,1.0,1,,med,ext_uploader:Gren Delede
Jamta Kisac,1,0,0,,0,0,,none,no_author_signal
Malik Ferdenko,1,0,1,Paul Nighman,1.0,1,,med,ext_uploader:Paul Nighman
Crimson Lionheart,1,0,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Gene Malentean,1,0,1,Raxis L'ygr,1.0,1,,med,ext_uploader:Raxis L'ygr
Eddie Halwinder,1,0,1,Paul Nighman,1.0,1,,med,ext_uploader:Paul Nighman
Andrev Cassius,1,0,1,Crestian Tarasar,1.0,1,5921,med,ext_uploader:Crestian Tarasar
Wally Vascili,1,0,1,Jessalyn Valios,1.0,1,3146,med,ext_uploader:Jessalyn Valios
Jadon Lenor,1,0,1,Lynae Cassius,1.0,1,9311,med,ext_uploader:Lynae Cassius
Shoog-Mox Klagg,1,0,1,Johanna Siri te Danaan,1.0,1,9407,med,ext_uploader:Johanna Siri te Danaan
Chess Hutz,1,0,1,Paul Nighman,1.0,1,,med,puppet_of:Paul Nighman
Soliloquy Olexa Sella,1,0,1,Antoine Dareus,1.0,1,,med,ext_uploader:Antoine Dareus
Sanoire Cror,1,0,1,Alysha Mara,1.0,1,3990,med,ext_uploader:Alysha Mara
Carlist Rieekan,1,0,1,Rasi Praddhan Cen,1.0,1,1050,med,ext_uploader:Rasi Praddhan Cen
Hauwkawrrka,1,0,1,K'tyyri Tarashabi,1.0,1,3768,med,ext_uploader:K'tyyri Tarashabi
Demitri Arands,1,0,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Bren Senzi,1,0,1,Twila Virda,1.0,1,9990,med,ext_uploader:Twila Virda
Kor'Goth,1,0,1,Tsaran Joir,1.0,1,,med,ext_uploader:Tsaran Joir
Lonri'napara,1,0,1,Jaspar Andromidas,1.0,1,4049,med,ext_uploader:Jaspar Andromidas
Jade Ruen Vigos,1,0,1,Lynae Cassius,1.0,1,9311,med,ext_uploader:Lynae Cassius
Jimmy Hoolihan,1,0,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Aleira Targadas,1,0,1,Lynae Cassius,1.0,1,9311,med,ext_uploader:Lynae Cassius
Ratchet,1,0,1,Simon Sezirok,1.0,1,7077,med,ext_uploader:Simon Sezirok
Kimber Pallas,1,0,1,Bazil McKenzie,1.0,1,9199,med,ext_uploader:Bazil McKenzie
Elena Dasun Korminos,1,0,1,Kyrin Sh'vani,1.0,1,9395,med,ext_uploader:Kyrin Sh'vani
Tabl Moek,1,0,1,Morganna Tazecks,1.0,1,,med,ext_uploader:Morganna Tazecks
Chool Ndresi,1,0,1,Rasi Praddhan Cen,1.0,1,1050,med,ext_uploader:Rasi Praddhan Cen
Thraken Quadrix,1,0,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Kenneth Roberts,1,0,1,Tyy'sun Eson,1.0,1,3655,med,ext_uploader:Tyy'sun Eson
Shael Winter,1,0,1,Raxis L'ygr,1.0,1,,med,ext_uploader:Raxis L'ygr
Tekahan Maroc,1,0,1,Jal'Dana Rall,1.0,1,8802,med,ext_uploader:Jal'Dana Rall
Mugenjin Guren-Azayath,1,0,1,Lynae Cassius,1.0,1,9311,med,ext_uploader:Lynae Cassius
Vaelyn Ir Xieker,1,0,1,Tyy'sun Eson,1.0,1,3655,med,ext_uploader:Tyy'sun Eson
K. Kintor Roberts,1,0,1,K. Kintor Roberts,1.0,1,,med,self(player)
Pyat dar Kuat,1,0,1,Twila Virda,1.0,1,9990,med,ext_uploader:Twila Virda
Eliza i'Falzin,1,0,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Lucinda Jordain,1,0,1,Inanna Jordain,1.0,1,,med,ext_uploader:Inanna Jordain
Daryth,1,0,1,Shenneret Veery,1.0,1,,med,ext_uploader:Shenneret Veery
Antra Silverthorn,1,0,1,Jessalyn Valios,1.0,1,3146,med,ext_uploader:Jessalyn Valios
Rivo (Snake1),1,0,1,Rasi Praddhan Cen,1.0,1,1050,med,ext_uploader:Rasi Praddhan Cen
Sinya'kor,1,0,1,Sinya'kor,1.0,1,,med,self(player)
Lila Marcaigh,1,0,1,Axel Vichten,1.0,1,9768,med,ext_uploader:Axel Vichten
Ban Fleming,1,0,1,Korynn Fleming,1.0,1,11044,med,ext_uploader:Korynn Fleming
Seppi Kharan,1,0,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Nicamonte Vroon,1,0,1,Rasi Praddhan Cen,1.0,1,1050,med,ext_uploader:Rasi Praddhan Cen
Jolan Kaerf,1,0,1,Tsaran Joir,1.0,1,,med,ext_uploader:Tsaran Joir
Allerden Vraill,1,0,1,Crestian Tarasar,1.0,1,5921,med,ext_uploader:Crestian Tarasar
Foerga Shameia,1,0,1,Rasi Praddhan Cen,1.0,1,1050,med,ext_uploader:Rasi Praddhan Cen
Sylia Avra,1,0,1,Cato,1.0,1,,med,ext_uploader:Cato
Miles Daq,1,0,1,Simone Drake,1.0,1,,med,ext_uploader:Simone Drake
Acthpa Sanduleak,1,0,1,Korynn Fleming,1.0,1,11044,med,ext_uploader:Korynn Fleming
Bruno Ringoire,1,0,1,Krieg Inrokana,1.0,1,3692,med,ext_uploader:Krieg Inrokana
Ubi Sunt Enebi,1,0,1,Jessalyn Valios,1.0,1,3146,med,ext_uploader:Jessalyn Valios
Mick Kuhndog,1,0,1,Morganna Tazecks,1.0,1,,med,ext_uploader:Morganna Tazecks
Tynan Aileron,1,0,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Suhail Kylrath,1,0,1,Lynae Cassius-Caiton,1.0,1,9311,med,ext_uploader:Lynae Cassius-Caiton
Marz Tank,1,0,1,Vextin Mandor,1.0,1,,med,ext_uploader:Vextin Mandor
Baral Heram,1,0,1,Rasi Praddhan Cen,1.0,1,1050,med,ext_uploader:Rasi Praddhan Cen
Leda Same,1,0,1,Elana Tracer,1.0,1,,med,ext_uploader:Elana Tracer
Ken Wolf,1,0,1,Shenneret Veery,1.0,1,,med,ext_uploader:Shenneret Veery
Kathryn Montavre-Jrevelian,1,0,1,Bazil McKenzie,1.0,1,9199,med,ext_uploader:Bazil McKenzie
Marie Breya,1,0,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Dagny Bryant,1,0,1,Simone Drake,1.0,1,,med,ext_uploader:Simone Drake
Kaylen Morrell,1,0,1,Jared Starwind,1.0,1,9707,med,ext_uploader:Jared Starwind
Gordis Jandis,1,0,1,Simon Sezirok,1.0,1,7077,med,ext_uploader:Simon Sezirok
Antan Malika,1,0,1,Antoine Dareus,1.0,1,,med,ext_uploader:Antoine Dareus
Kathryn McGuire,1,0,1,Simon Sezirok,1.0,1,7077,med,ext_uploader:Simon Sezirok
Voren Nadil,1,0,1,Bazil McKenzie,1.0,1,9199,med,ext_uploader:Bazil McKenzie
Biff Shelkin,1,0,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Askrut Melan'lya,1,0,1,Jared Starwind,1.0,1,9707,med,ext_uploader:Jared Starwind
Jay Langston,1,0,1,Paul Nighman,1.0,1,,med,ext_uploader:Paul Nighman
Severin Tanbris,1,0,1,Antoine Dareus,1.0,1,,med,ext_uploader:Antoine Dareus
Maximilian Veers,1,0,1,Shenneret Veery,1.0,1,,med,ext_uploader:Shenneret Veery
Mithral Hyperion,1,0,1,Ash,1.0,1,,med,ext_uploader:Ash
Sharid Hascon,1,0,1,Krieg Inrokana,1.0,1,3692,med,ext_uploader:Krieg Inrokana
Siren Delamont,1,0,0,,0,0,,none,no_author_signal
Seneca Eris Foyle,1,0,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Syyvos Rintari,1,0,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Meridian Tarasar,1,0,1,Crestian Tarasar,1.0,1,5921,med,ext_uploader:Crestian Tarasar
