variant,player,dbref,db_type,source
Damien Loki Katon,Katon,4732,player,token
Dandoi,,,unresolved,two-part
Dane Noth,Dane,,annotation,annotation
Daniels,,,unresolved,two-part
Danik Kreldin,Danik,8061,player,token
Dante,,,unresolved,two-part
Dar'siden,Dar'siden,5021,player,exact
Darenak Alesis,,,unresolved,two-part
Dareus,,,unresolved,two-part
Dareus Inrokana,,,unresolved,two-part
Dariza Ipex,,,unresolved,two-part
Darkholme,,,unresolved,two-part
Darrian Fel'lya,Darrian,5879,player,token
Darth Malign,Tyler?,,annotation,annotation
Darth Malus,Malus,10062,player,token
Darth Venger,Korolov,6501,player,full_name
Daryth,,,unresolved,two-part
Dash Blazer,Dash,9338,player,token
Dauthus,Dauthus,3855,player,exact
David Stone,Stone,7083,player,full_name
Davyd,Davyd,9595,player,exact
Davyd Levvis,Davyd,9595,player,full_name
Dawn,,,unresolved,two-part
Daxin,Dain,10887,player,fuzzy
Dayna,,,unresolved,two-part
Dean ak,,,unresolved,two-part
Declan Rahn,Declan,4654,player,token
Decrevi Cristescu,,,unresolved,two-part
Defcon,,,unresolved,two-part
Del,Del,5462,player,exact
Del Marx,Del,5462,player,full_name
Delila Dmitri,Dmitri,3567,player,token
Demetria,Demeria,8575,player,fuzzy
Demitri Arands,Arands,2444,player,token
Demitri Vry'lya,,,unresolved,two-part
Denyse,,,unresolved,two-part
Detjin,Detjin,4834,player,exact
Devon Striker,,,unresolved,two-part
Devron Nuleshek,devron,465,player,token
Devyn,,,unresolved,two-part
Deyal Huxlo,,,unresolved,two-part
Dhamon Rand,Dhamon,189,player,token
Di'anCecht,,,unresolved,two-part
Di'anCecht Dichet A.C. Rial,,,unresolved,two-part
Di'anChecht,,,unresolved,two-part
Diggs,,,unresolved,two-part
Dillan Stelves,Dillan,695,player,token
Dillon,Dillon,4829,player,exact
Dimitri Salz,,,unresolved,two-part
Dionysis,,,unresolved,two-part
Dises Diaglo,,,unresolved,two-part
Doctor Alvarez,Vophsi,1893,player,token
Domicor Honos,,,unresolved,two-part
Dorian Navtilos,,,unresolved,two-part
Doril Farnsworth,Korbel,686,player,full_name
Doron Rtufo,Rtufo,2290,player,full_name
Dr. Caiton,,,unresolved,two-part
Dracolysk,,,unresolved,two-part
Dracon,,,unresolved,two-part
Draga the Hutt,Draga,4952,player,full_name
Drake Rukhas,Drake,11036,player,token
Dravin Xiz,Dravin,11213,player,full_name
Drax,Drax,4373,player,exact
Drax Rendolen,Drax,4373,player,full_name
Drayson Honos,,,unresolved,two-part
Drayson Honos communications officer,,,unresolved,two-part
Dreven,Dreven,1145,player,exact
Dreven Mercurio,Dreven,1145,player,full_name
Drew,Drew,1982,player,exact
Drew Carvallo,Drew,1982,player,token
Drocal Arconen,,,unresolved,two-part
Drorq,,,unresolved,two-part
Durjan,,,unresolved,two-part
Dydron,,,unresolved,two-part
Dylan,,,unresolved,two-part
Dyne Haederfeld,,,unresolved,two-part
Dyrna,,,unresolved,two-part
Eagle Four,,,unresolved,two-part
Ebon Zyar,,,unresolved,two-part
Ecks,Scyk,7194,player,alias
Eddie,,,unresolved,two-part
Eddie Halwinder,,,unresolved,two-part
Edgar Krac'zah,,,unresolved,two-part
Eeth Mentel,,,unresolved,two-part
Ehlias Cross,Ehlias,10168,player,full_name
Eithne Damia Tamesis,,,unresolved,two-part
Elana Tracer,Tracer,7424,player,full_name
Elddid,,,unresolved,two-part
Elena,,,unresolved,two-part
Elena Dasun Korminos,,,unresolved,two-part
Elias Corentin,Elias,1334,player,full_name
Eliza i'Falzin,,,unresolved,two-part
Elly,,,unresolved,two-part
Elya'balin,,,unresolved,two-part
Emily Dareus,,,unresolved,two-part
Emma,,8814,thing,exact-thing
Emmit,,,unresolved,two-part
Enb'Zik,Enb'Zik,3562,player,exact
Eoin Dunn,,,unresolved,two-part
Ephant Mon,,,unresolved,two-part
Erin Abrosen,,,unresolved,two-part
Ernest Pallando,Pallando,6469,player,token
Ernie Pallando,Pallando,6469,player,token
Eryk Zephron,,,unresolved,two-part
Esmeraldas Esfera,Esmeraldas,4635,player,token
Espo Slicer Sergeant,,,unresolved,two-part
Espo Strike Team Commander,,,unresolved,two-part
Estos,,,unresolved,two-part
Ethan Cassius,Ethan,2000,player,token
Ethan Katana,Ethan,2000,player,full_name
Etiel,,,unresolved,two-part
Etiel te Danaan,Johanna,,annotation,annotation
Euphoria,,10725,thing,exact-thing
Eva Sargent,Sargent,,annotation,annotation
Evir,,,unresolved,two-part
Evir Yissik,,,unresolved,two-part
Ewan Dain,Dain,10887,player,full_name
Exos Elan,Exos,12086,player,full_name
Ezkhil i'Falzin,,,unresolved,two-part
Ezlo,Ezlo,11865,player,exact
Fael Ramsis,,,unresolved,two-part
Fay,,,unresolved,two-part
Felipe del Montefort,Del,5462,player,token
Fenn Khor,Fenn,2684,player,token
Fern Powers,,,unresolved,two-part
Ferrak,Ferrak,1336,player,exact
Feyd Siva,Feyd,2319,player,full_name
Feylin,,,unresolved,two-part
Feylin Calenik,,,unresolved,two-part
Fianar Reanus,Reanus,8424,player,token
Flaron Korr,Korreptus,3890,player,token
Foerga Shameia,,,unresolved,two-part
Fortune,,,unresolved,two-part
Frederiko,Frederiko,5885,player,exact
Frederiko Eembek,Frederiko,5885,player,token
Fulk,,,unresolved,two-part
G.S. Qwynt VIII,Qwynt,8062,player,token
Gabi,,6621,thing,exact-thing
Gabi Delgard,,,unresolved,two-part
Gabrielle Calhoun,Gabrielle,3927,player,token
Gabrielle Damion,Gabrielle,3927,player,full_name
Galatea Demor,,,unresolved,two-part
Galen Rourke,Galen,5466,player,full_name
Galin,Galin,11461,player,exact
Galin Wraith,Galin,11461,player,token
Gar'thriln,Gar'thriln,5415,player,exact
Garret Fife,,,unresolved,two-part
Gavin Shai,Gavin,6618,player,full_name
Gene Malantean,,,unresolved,two-part
Gene Malentean,,,unresolved,two-part
Geophreigh Smitherbodkins IV,Smitherbodkins,8107,player,token
Geroam,,,unresolved,two-part
Ghost 8,,,unresolved,two-part
Gial Ackbar,,,unresolved,two-part
Gienah,,,unresolved,two-part
Giles Pendleton,,,unresolved,two-part
Giles Vermillion,Vermillion,,annotation,annotation
Gillian,,,unresolved,two-part
Gillian Lasel,,,unresolved,two-part
Gimel Daleth,,,unresolved,two-part
Ginger,,,unresolved,two-part
Giran Blaine,,,unresolved,two-part
Glitter,,,unresolved,two-part
Glory Lockhart,,,unresolved,two-part
Go,,,unresolved,two-part
Gorath,,,unresolved,two-part
Gordis Jandis,,,unresolved,two-part
Gorgan,,,unresolved,two-part
Goruk,,,unresolved,two-part
Graden Transal,,,unresolved,two-part
Grathix Stur'ttrakath,,,unresolved,two-part
Gregory Garrett,,,unresolved,two-part
Grei,Greiv,11527,player,fuzzy
Greiko Lornan,,,unresolved,two-part
Gren Delede,,,unresolved,two-part
Greven Sylar,,,unresolved,two-part
Grizz,,,unresolved,two-part
Grubba the Hutt,Draga,4952,player,token
Grunax,,,unresolved,two-part
Grymm Selcan,,,unresolved,two-part
Gunter,,,unresolved,two-part
Gustaf Heram,,,unresolved,two-part
Gym Harp'r,,,unresolved,two-part
Gyzen Bel,Gyzen_Bel,3475,player,exact
HM743,HM743,6933,player,exact
Haihai,,,unresolved,two-part
Hal Seiser,Hal,12005,player,full_name
Hale Bristol,,,unresolved,two-part
Halloway,,,unresolved,two-part
Halo,,,unresolved,two-part
Halos,,,unresolved,two-part
Han Solo,Han,1491,player,full_name
Han'bel Eckhart,Eckhart,12004,player,token
Handon,,,unresolved,two-part
Hanna,,,unresolved,two-part
Harlock,,,unresolved,two-part
Harmon,Harmon,10542,player,exact
Harval Shaw,,,unresolved,two-part
Hase Stargazer,,,unresolved,two-part
Hate Sarray,,,unresolved,two-part
Hauwka,Hauwka,11817,player,exact
Hauwkawrrka,Hauwka,11817,player,full_name
Hawke Taren,,,unresolved,two-part
Heinrich Stalh,Stalh,3993,player,token
Hellion Kracken,,,unresolved,two-part
Hinrich,,,unresolved,two-part
Holden,,,unresolved,two-part
Holden Deckherd,,,unresolved,two-part
Hoolihan,,,unresolved,two-part
Hora,,,unresolved,two-part
Hotwire,,,unresolved,two-part
Howie,,,unresolved,two-part
Howie Darklighter,,,unresolved,two-part
Hsskah Agileclaw,,,unresolved,two-part
Huey Longshot,,,unresolved,two-part
Humbert Pumberdum,,,unresolved,two-part
Ikihsa Enb'Zik,Enb'Zik,3562,player,full_name
Illyana Crane,,,unresolved,two-part
Ilyana,,,unresolved,two-part
Ilyana Sung,,,unresolved,two-part
Immobilizer 5,,,unresolved,two-part
Imperial Officer,,,unresolved,two-part
Imperial corvette pilot,,,unresolved,two-part
Imral,Imra,338,player,fuzzy
Imriel,,,unresolved,two-part
Inanna Jordain,,,unresolved,two-part
Inaya Macklebee,,,unresolved,two-part
Indren aU-Phraxus,Indren,10461,player,full_name
Inoga,,,unresolved,two-part
Irascius Quirn,,,unresolved,two-part
Irru Gex,,,unresolved,two-part
Ishtari Tsumeth,,,unresolved,two-part
Ivanil Sandomere,,,unresolved,two-part
Ivar,,,unresolved,two-part
J'Eeves,J'Eeves,6777,player,exact
J. Hook,,,unresolved,two-part
Jace Starr,,,unresolved,two-part
Jack Hall,Jack,8203,player,token
Jada Kadoth,,,unresolved,two-part
Jade Ruen Vigos,,,unresolved,two-part
Jaden,Jaden,11428,player,exact
Jadon Lenor,,,unresolved,two-part
Jae Ten,Jae,9322,player,full_name
Jager,Jagger,1262,player,fuzzy
Jaina Solo,Han,1491,player,token
Jairen,Jaren,3387,player,fuzzy
Jak M'koy,,,unresolved,two-part
Jak McCulloch,,,unresolved,two-part
Jakys Vry'lya,,,unresolved,two-part
Jal'Dana,Jal'Dana,8802,player,exact
Jal'Dana Rall,Jal'Dana,8802,player,full_name
Jalek Helion,,,unresolved,two-part
Jalek Wessiri,,,unresolved,two-part
Jali,,,unresolved,two-part
James K'Cusi,,,unresolved,two-part
Jamon Grendine,,,unresolved,two-part
Jamta Kisac,,,unresolved,two-part
Janos Audron,,,unresolved,two-part
Janus,Janus,11386,player,exact
Janus Tarasar,,12103,thing,exact-thing
Jaqen H'gar,,,unresolved,two-part
Jared Starwind,Jared,9707,player,token
Jarek Syris,Jarek,10154,player,full_name
Jarin,,,unresolved,two-part
Jarl Rellik,Rellik,9206,player,full_name
Jase Millikin,,,unresolved,two-part
Jasmine,,,unresolved,two-part
Jason Gorrman,,,unresolved,two-part
Jaspar Andromidas,Jaspar,4049,player,full_name
Javin Mitali,,,unresolved,two-part
Jaxx Morgan,Jaxx,6957,player,full_name
Jay Langston,,,unresolved,two-part
Jayden,Jayden,1792,player,exact
Jaykub,Jaykub,5501,player,exact
Jayla Burano,,,unresolved,two-part
Jek Mirden,,,unresolved,two-part
Jeni Donella,Jeni,1741,player,token
Jenkins,,,unresolved,two-part
Jenya Vala,,,unresolved,two-part
Jeralic Mandragon,,,unresolved,two-part
Jessa,jessalyn,3146,player,alias
Jessalyn,jessalyn,3146,player,exact
Jessalyn Valios,jessalyn,3146,player,full_name
Jessica Marama,Jessica,9686,player,full_name
Jet Farx,,,unresolved,two-part
Jim T. Case,,,unresolved,two-part
Jimmy Hoolihan,,,unresolved,two-part
Jimmy Pickle,,,unresolved,two-part
Jindra Langri,,,unresolved,two-part
Jingle,,,unresolved,two-part
Jocal,,,unresolved,two-part
Johanna,Johanna,9407,player,exact
Johanna Damion,Johanna,9407,player,token
Johanna Siri te Danaan,Johanna,9407,player,full_name
Johanna te Danaan,Johanna,9407,player,token
Johmac Mabru,Johmac,1832,player,full_name
John Donivan,Donivan,5457,player,token
John Penta,,,unresolved,two-part
Jolan Kaerf,,,unresolved,two-part
Jonas,Jonas,11782,player,exact
Jonas Alsten,Jonas,11782,player,full_name
Jonathan Steiner,JONATHAN,235,player,token
Jonathan Webb,Webb,8680,player,full_name
Jonau Diggs,Bazil,,annotation,annotation
Jonca Cojac,,,unresolved,two-part
Joran Hess,,,unresolved,two-part
Jordaan Mag,,,unresolved,two-part
Joren Vaylen,,,unresolved,two-part
Jorgen Essain,,,unresolved,two-part
Jorj Brinaj,,,unresolved,two-part
Josh Arands,Arands,2444,player,token
Joshua Arands,Arands,2444,player,token
Joworral,,,unresolved,two-part
Juan,Juran,6727,player,fuzzy
Juran,Juran,6727,player,exact
Juran Reinzhiner,Juran,6727,player,full_name
Jusre,,,unresolved,two-part
Juuka,Juuka,6252,player,exact
K'alyeh U'shh,,,unresolved,two-part
K'tyyri Tarashabi,K'tyyri,3768,player,full_name
K. Kintor Roberts,,,unresolved,two-part
K3P0,,,unresolved,two-part
Ka'una,Ka'una,10733,player,exact
Ka'una La,Ka'una,10733,player,full_name
Kacela,,,unresolved,two-part
Kadgie Rodo,,,unresolved,two-part
Kaein,,,unresolved,two-part
Kain,,,unresolved,two-part
Kairne Saa'thul,,,unresolved,two-part
Kairo,,,unresolved,two-part
Kaitlin,,,unresolved,two-part
Kaitlin Mainwaring,,,unresolved,two-part
Kaley,Kaley,3864,player,exact
Kaley Recourua,Kaley,3864,player,token
Kalidonna 'Lily' Serv'Laya,Kalidonna,11127,player,full_name
Kalna,Kalna,8648,player,exact
Karawn'Rai,Karawn'Rai,8929,player,exact
Karina,Karina,6939,player,exact
Karissa Dalton,,,unresolved,two-part
Karn,,,unresolved,two-part
Karrde,Karrde,5754,player,exact
Kartijan Lore,Kartijan,9521,player,token
Kasha,Kasha,11724,player,exact
Kasha Tabasuri,Kasha,11724,player,full_name
Katala,,,unresolved,two-part
Kath Samba,,,unresolved,two-part
Kathryn,,,unresolved,two-part
Kathryn Jrevelian,Kathryn,,annotation,annotation
Kathryn McGuire,,,unresolved,two-part
Kathryn Montavre-Jrevelian,Kathryn,,annotation,annotation
Kaylen Morrell,,,unresolved,two-part
Keely Prior,,,unresolved,two-part
Keeros,,,unresolved,two-part
Kegren'Te,,,unresolved,two-part
Keifan,,,unresolved,two-part
Kelbris Cooper,Kelbris,4300,player,full_name
Keline Nelhrn,Keline,7822,player,full_name
Kelnas,Kelnas,12027,player,exact
Kelvis,,,unresolved,two-part
Kelvis Aquatica,,,unresolved,two-part
Ken Wolf,Wolf,1444,player,token
Kendell,,,unresolved,two-part
Kenji,,,unresolved,two-part
Kenneth Roberts,,,unresolved,two-part
Kensle Gradvitz,,,unresolved,two-part
Kesander Beysarus,,,unresolved,two-part
Kestryan du Bracc,,,unresolved,two-part
Khanar Stryker,Stryker,9244,player,token
Khil,Khil,749,player,exact
Khirsah,,,unresolved,two-part
Kian,Kiran,7233,player,fuzzy
Kiare Quinn,Kiare,10421,player,token
Kieran,Kiran,7233,player,fuzzy
Kierv,,,unresolved,two-part
Kiff,,,unresolved,two-part
Kimber Pallas,,,unresolved,two-part
Kines,,,unresolved,two-part
Kinsa'una,,,unresolved,two-part
Kintor,,,unresolved,two-part
Kintor Roberts,,,unresolved,two-part
Kipran Jawatha,,6874,thing,exact-thing
Kiri Valios,,,unresolved,two-part
Kithan,,,unresolved,two-part
Kitterick Brandis Finian,Brandis,2057,player,full_name
Kitty (Kit),,,unresolved,two-part
Kola,,,unresolved,two-part
Kor'Goth,,,unresolved,two-part
Kora,,,unresolved,two-part
Kora Liadin,,,unresolved,two-part
Korbel,Korbel,686,player,exact
Korlen,Korlen,887,player,exact
Korolov,Korolov,6501,player,exact
Korynn Fleming,Korynn,11044,player,full_name
Kracen Ecks,Scyk,7194,player,token
Krackor Reincus,Krackor,3296,player,full_name
Krall Dar,Darryn,4708,player,token
Krayt Dragon,,9538,thing,exact-thing
Krechev,,,unresolved,two-part
Krel,,1042,thing,exact-thing
Krel Scrinae,,,unresolved,two-part
Kretzman,,,unresolved,two-part
Krieg,Krieg,3692,player,exact
Krieg Inrokana,Krieg,3692,player,full_name
Krinko,,,unresolved,two-part
Krozit,,,unresolved,two-part
Kryan,Ryan,4584,player,fuzzy
Krysten Carlyle,Krysten,653,player,token
Kuxli,,,unresolved,two-part
Kyle Senesca,Kyle_Senesca,2483,player,exact
Kyo,Kyokusha,2877,player,alias
Kyokusha,Kyokusha,2877,player,exact
Kyokusha Gackt,Kyokusha,2877,player,token
Kyrin,Kyrin,9395,player,exact
Kyrin Sh'vani,Kyrin,9395,player,full_name
Kyyel Marrak,Kyyel,4410,player,full_name
Kyyiriiwur,,,unresolved,two-part
Kyyrruk,,,unresolved,two-part
L3-ET,,,unresolved,two-part
Labatiel Atrox,,,unresolved,two-part
Lahn,,,unresolved,two-part
Laivin Quix,,,unresolved,two-part
Lance Corbet,Corbet,3219,player,token
Landis,,,unresolved,two-part
Lando,Lando,3709,player,exact
Lando Calrissian,Lando,3709,player,full_name
Lanil Jast,Lanil,4686,player,full_name
Lanthazar,,,unresolved,two-part
Lanze,Lanze,11282,player,exact
Lanze Beviin,Lanze,11282,player,full_name
Lara Grayson,,,unresolved,two-part
Larin Ret'riss,,,unresolved,two-part
Latar Zaff,,,unresolved,two-part
Lathan Vel,Vel,1323,player,token
Lauranne Tremichall,Lauranne,10708,player,full_name
Laurence Dante,,,unresolved,two-part
Lavender,,,unresolved,two-part
Lavrish'lin,,,unresolved,two-part
Leamer,,,unresolved,two-part
Leanna_Lar,,,unresolved,two-part
Leate,,,unresolved,two-part
Leda Same,,,unresolved,two-part
Leebo Krupt,,,unresolved,two-part
Legato,,,unresolved,two-part
Lehec,,,unresolved,two-part
Leia,Leia,3147,player,exact
Leia Organa,Leia,3147,player,token
Leia Organa Solo,Leia,3147,player,full_name
Lelila,,,unresolved,two-part
Lemos Ackinbrac,,,unresolved,two-part
Leo,Leo,5965,player,exact
Leo Corak,Leo,5965,player,full_name
Lepidoptera,,,unresolved,two-part
Leyanne Zion,,,unresolved,two-part
Lianja Tantai,Lianja,846,player,full_name
Lianna,Lianna,10108,player,exact
Lianna Blackledge,Lianna,10108,player,full_name
Lierra Carlon,,,unresolved,two-part
Lila,,,unresolved,two-part
Lila Marcaigh,,,unresolved,two-part
Liora Kovani,,,unresolved,two-part
Lirae Moncair,,,unresolved,two-part
Liuz Bogumil,,,unresolved,two-part
Liza Molokai,Liza,8364,player,token
Loki,,,unresolved,two-part
Lokiru,,,unresolved,two-part
Lokus,,,unresolved,two-part
Lola,,,unresolved,two-part
Lon Cotaar,,,unresolved,two-part
Lon Cotar,,,unresolved,two-part
Longinus Van Sen,Vance,3336,player,token
Lono,,,unresolved,two-part
Lonri'napara,Lonrina,4043,player,full_name
Loor,,,unresolved,two-part
Loraiil,,,unresolved,two-part
Loreck Hawkins,Loreck,4014,player,full_name
Lorn,Malus,10062,player,alias
Lorn Rhys,Malus,10062,player,full_name
Lotus Blackpool,,,unresolved,two-part
Loy Marin,Loy_Marin,3005,player,exact
Lucinda Jordain,,,unresolved,two-part
Lucky,Buck,10458,player,alias
Luke,Luke,2043,player,exact
Luke Skywalker,Luke,2043,player,full_name
Luther Syss,,,unresolved,two-part
Lyle Derfill,,,unresolved,two-part
Lynae,Lynae,9311,player,exact
Lynae Caiton,Lynae,9311,player,token
Lynae Cassius,Lynae,9311,player,full_name
Lynae Cassius-Caiton,Lynae,9311,player,token
Lynae Cassius-Mahon,Lynae,9311,player,token
Lyra,Lyra,6575,player,exact
Lyrik Welkar,,,unresolved,two-part
Lyshi,,,unresolved,two-part
Machkeu,,,unresolved,two-part
Madixli,,,unresolved,two-part
Maelle,,,unresolved,two-part
Maethor,,,unresolved,two-part
Maethor Savage,Maethor,,annotation,annotation
Mahon,Mahon,6463,player,exact
Mailyn,Mailyn,1548,player,exact
Mailyn Raines,Mailyn,1548,player,full_name
Major Peny,,,unresolved,two-part
Malif,Malif,5316,player,exact
Malif Tal-Tahn,Malif,5316,player,full_name
Malign,,,unresolved,two-part
Malign's chief aide,,,unresolved,two-part
Malik Ferdenko,,,unresolved,two-part
Malouf,,,unresolved,two-part
Malus,Malus,10062,player,exact
Malus Brock,Malus,10062,player,token
Mara Shinomiya,,,unresolved,two-part
Marcus,Marcus,4330,player,exact
Marcus DeVilliers,Marcus,4330,player,token
Marcus Delvennis,Marcus,4330,player,token
Mari,Marjia,11025,player,alias
Marie Breya,,,unresolved,two-part
Maris Becton,Maris,6261,player,full_name
Marius Starker,,,unresolved,two-part
Mark Avery,Mark_Steele,592,player,token
Mark Steele,Mark_Steele,592,player,exact
Markus Lisardis,Markus,9567,player,full_name
Marl Jace,,,unresolved,two-part
Marrell Thelin,,,unresolved,two-part
Martin Teywer,,,unresolved,two-part
Marz Tank,,,unresolved,two-part
Mat Cypher,Cypher,8003,player,token
"Matthew ""Rabid"" Fox",,,unresolved,two-part
Matthew Fox,,,unresolved,two-part
Maximilian Veers,,,unresolved,two-part
Maxxen,,,unresolved,two-part
May,,,unresolved,two-part
Mayre O'Hanrahan,,,unresolved,two-part
Mege Vauki,Bazil,,annotation,annotation
Meissa,,,unresolved,two-part
Mekeal,,,unresolved,two-part
Mella,Mella,5326,player,exact
Ment,,,unresolved,two-part
Mephisto,mephisto,6034,player,exact
Meridian,,,unresolved,two-part
Meridian Tarasar,,,unresolved,two-part
Merk,Merek,8651,player,fuzzy
Merreck Pelx,,,unresolved,two-part
Mersche,,,unresolved,two-part
Mersche Lumbroscopic,,,unresolved,two-part
Methos,,,unresolved,two-part
Mevid,,,unresolved,two-part
Mick Kuhndog,,,unresolved,two-part
Miles Daq,,,unresolved,two-part
Milo Sienar,,,unresolved,two-part
Mira,Mira,463,player,exact
Mira Isaria,Mira,463,player,full_name
Miranda Jabs,Jabs,5023,player,full_name
Miss Hintu,,,unresolved,two-part
Mitali,,,unresolved,two-part
Mithral,,,unresolved,two-part
Mithral Hyperion,,,unresolved,two-part
Mitler,,,unresolved,two-part
Mitra,Mira,463,player,fuzzy
Moira,Moirae,9700,player,fuzzy
Mojo,,,unresolved,two-part
Molari Canto,,,unresolved,two-part
Momma Cleo,,,unresolved,two-part
Mon Calamari Ambassador,BC_Calamari,76,player,token
Monk Hugo,,7766,thing,exact-thing
Monntok,,,unresolved,two-part
Montgomery,,,unresolved,two-part
Moore,,,unresolved,two-part
Mora Rodriga,,,unresolved,two-part
Mora Rodriguez,,,unresolved,two-part
Moralis Rodriga,Moralis,,annotation,annotation
Morganna,,,unresolved,two-part
Morganna Tazecks,Morganna,,annotation,annotation
Morganth,,,unresolved,two-part
Morlok Adlerson,Adlerson,3796,player,token
Morrison,Morrison,8202,player,exact
Morrison Van Sen,Morrison,8202,player,full_name
Motwa Torra,,,unresolved,two-part
Mox,Mox,11902,player,exact
Mr. Stone,Stone,7083,player,token
Ms. Incinta,,,unresolved,two-part
Mugenjin Guren-Azayath,,,unresolved,two-part
Munch,,,unresolved,two-part
Murdock,Murdock,4104,player,exact
Myiari Oerstead,Myiari,9277,player,full_name
Mysti,,,unresolved,two-part
N'Saldon,,,unresolved,two-part
NPC_RebelScum,,,unresolved,two-part
Nachkt'lyysk,,,unresolved,two-part
Naldo,,,unresolved,two-part
Naota,,,unresolved,two-part
Naota Nandaba,,,unresolved,two-part
Naqua,,,unresolved,two-part
Nara,Nara,11822,player,exact
Nara Rhen,Nara,11822,player,token
Naria,Nara,11822,player,fuzzy
Nasiri,Nasiri,1329,player,exact
Nasiri Gejalli,Nasiri,1329,player,token
Nasiri Zithreej,Nasiri,1329,player,full_name
Nastaran Zohreh,Nastaran,4837,player,full_name
Nat Pagle,Natari,7642,player,token
Nate,,,unresolved,two-part
Naten Bonrue,,,unresolved,two-part
Nelle,Noelle,8476,player,fuzzy
Nerik Dreshkar,,,unresolved,two-part
Nesin,,,unresolved,two-part
Nicamonte Vroon,,,unresolved,two-part
Nicholas Chang,,,unresolved,two-part
Nicole Brouillard-Batrad,,,unresolved,two-part
Niels,Nils,12109,player,fuzzy
Nimzar i'Falzin,,,unresolved,two-part
